"Ligne_num";"NOMVOIE";"ID_DEFAUT";"PK_DEFAUT";"PROFIL_RAIL";"ANNEE_POSE";"VITESSE";"GROUPE_UIC";"RAYON_COURBE";"ID_TYPE_CLASSEMENT";"ID_TYPE_EMPLACEMENT";"ID_TYPE_DEFAUT";"Annee_Decouverte"
229000;"V2";2807587;"037+0480";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2271";2016
229000;"V2";2807589;"037+0390";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2272";2016
229000;"V2";2807594;"037+0215";"UIC60";1969;140;"4";0;"X1";"Ciel ouvert";"2270";2016
229000;"V2";2807595;"037+0205";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807603;"036+0886";"UIC60";1969;140;"4";0;"O";"Ciel ouvert";"2270";2016
229000;"V2";2807604;"036+0740";"UIC60";1969;140;"4";0;"X1";"Ciel ouvert";"2270";2016
272000;"VDM";2807919;"000+0920";"U50";1992;90;"4";0;"X1";"Ciel ouvert";"2270";2016
272000;"VDM";2807921;"005+0075";"UIC60";1994;100;"4";6250;"O";"Ciel ouvert";"2271";2016
272000;"VDM";2807922;"005+0293";"UIC60";1994;100;"4";7143;"O";"Ciel ouvert";"2271";2016
325000;"V1";2807932;"011+0809";"U50";1996;100;"4";0;"O";"";"2270";2016
325000;"V1";2807936;"018+0170";"U50";1996;100;"4";0;"O";"";"2270";2016
325000;"V2";2807944;"033+0342";"U33";1963;100;"5";485;"O";"";"2270";2016
325000;"V2";2807950;"032+0140";"U33";1963;100;"5";685;"O";"";"2270";2016
325000;"V2";2807951;"031+0690";"U33";1963;100;"5";0;"O";"";"2270";2016
325000;"V2";2807960;"012+0935";"U50";1996;100;"4";0;"O";"";"2270";2016
325000;"V2";2807962;"011+0800";"U50";1996;100;"4";0;"O";"";"2270";2016
229000;"V2";2807963;"109+0448";"U33";1961;130;"7AV";1429;"X1";"Ciel ouvert";"2270";2016
229000;"V2";2807964;"109+0450";"U33";1961;130;"7AV";1429;"X1";"Ciel ouvert";"2270";2016
229000;"V1";2808031;"109+0682";"U33";1980;130;"7AV";1429;"X1";"Ciel ouvert";"2270";2016
229000;"V1";2808032;"109+0670";"U33";1980;130;"7AV";1429;"X1";"Ciel ouvert";"2270";2016
229000;"V1";2808037;"107+0300";"U33";1980;130;"7AV";0;"X1";"Ciel ouvert";"2270";2016
272000;"VDV";2808130;"005+0352";"UIC60";1992;100;"4";0;"O";"Ciel ouvert";"2270";2016
330000;"V2 (1)";2808138;"021+0020";"U50";1977;120;"4";0;"O";"Ciel ouvert";"2270";2016
330000;"V2 (1)";2808139;"020+0210";"U50";1977;90;"4";1600;"O";"Ciel ouvert";"2270";2016
330000;"V2 (1)";2808140;"020+0190";"U50";1977;90;"4";1600;"O";"Ciel ouvert";"2270";2016
328000;"V1";2808149;"016+0490";"U50";1977;90;"5";0;"O";"";"2270";2016
328000;"V1";2808152;"016+0529";"U50";1977;90;"5";0;"O";"";"2270";2016
328000;"V1";2808153;"016+0532";"U50";1977;90;"5";0;"O";"";"2270";2016
